conceptQID,conceptName,itemDescription,fieldQID,fieldName
Q186011,stereochemistry,subdiscipline of chemistry about stereoisomers and the relative spatial arrangement of atoms,Q2329,chemistry
Q186075,contemporary history,"subset of modern history that describes the historical period from approximately 1945 to the present, common in English-language historiography",Q3281534,modern period
Q186131,terrain,vertical and horizontal dimension of land surface,Q52109,geomorphology
Q186165,web portal,"website that integrates applications, processes and services",Q466,World Wide Web
Q184806,biocoenosis,interacting organisms living together in a habitat (biotope),Q4086949,biocenology
Q184850,indicator value,ellenberg,Q441,botany
Q184849,Zeigertier,German term: species with a low tolerance to changes in their conditions,Q431,zoology
Q184886,row construction,"the arrangement of long, narrow residential buildings across the road",Q69883,urban planning
Q184886,row construction,"the arrangement of long, narrow residential buildings across the road",Q12271,architecture
Q184890,Latin-language literature,"literature written in Latin, and the discipline that studies it",Q113128791,Latin and classical Greek literature
Q184896,Zeilenlupe,German term: an electronic diagnostic equipment for the precise evaluation of analog video signals,Q43035,electrical engineering
Q185068,Urartu,Iron Age kingdom located in a large region around Lake Van,Q21212481,Urartology
Q185168,quantitative analysis,analysis which determines the quantity or number of something,Q2346,analytical chemistry
Q185301,history of Egypt,aspect of history,Q149813,History of Africa
Q102192,fresh water,naturally occurring water with low concentrations of dissolved salts,Q4782809,aquatic science
Q102205,fluid,"substance which continuously deforms under an applied shear stress, including liquids and gases",Q172145,fluid mechanics
Q102904,volcanology,field of geology dedicated to the research of volcanoes,Q1069,geology
Q103808,loanword,word borrowed from a donor language and incorporated into a recipient language,Q178433,lexicology
Q103808,loanword,word borrowed from a donor language and incorporated into a recipient language,Q160845,sociolinguistics
Q178331,Shroud of Turin,length of linen cloth bearing the image of a man who is alleged to be Jesus,Q34850488,sindonology
Q178512,public transport,shared transportation service for use by the general public,Q23578769,urban studies
Q178694,heredity,passing of traits to offspring from its parents or ancestor,Q7162,genetics
Q178803,international trade,"exchange of capital, goods, and services across international borders or territories",Q55659899,International Trade
Q196113,camouflage,technique of concealment through color or pattern,Q105582462,biology of colour
Q196327,crypsis,"ability of an organism to avoid observation, detection",Q105582462,biology of colour
Q196626,context,conditions associated with a communicative event that provide resources for its appropriate interpretation,Q23404,anthropology
Q196626,context,conditions associated with a communicative event that provide resources for its appropriate interpretation,Q21201,sociology
Q196626,context,conditions associated with a communicative event that provide resources for its appropriate interpretation,Q8162,linguistics
Q196626,context,conditions associated with a communicative event that provide resources for its appropriate interpretation,Q60195,semiotics
Q198804,Ziegenkopfadler,German term: an heraldic animal in heraldry,Q18336,heraldry
Q198926,Ziel-1-Region,"German term: economically weak regions, a term used in EU aid policy",Q582577,economic policy
Q198927,Ziel-2-Region,"German term: economically weak regions, a term from the EU economic policy",Q582577,economic policy
Q199077,Desmidiales,order of algae,Q131344606,desmidiology
Q199428,auditory event,"subjective perception, when listening to a certain sound situation",Q103884376,hearing science
Q199655,library science,"application of practices, methods, technologies, tools of management, education, training, perspectives, and related areas, to the organized collection and the systematic classification of information in libraries",Q13420675,library and information science
Q199655,library science,"application of practices, methods, technologies, tools of management, education, training, perspectives, and related areas, to the organized collection and the systematic classification of information in libraries",Q16387,information science
Q187084,newspaper studies,academic discipline,Q34749,social science
Q187084,newspaper studies,academic discipline,Q1078351,communication science
Q187084,newspaper studies,academic discipline,Q165650,media studies
Q187094,time comparison,the comparison of the time to a clock with a a time signal of a more accurate system of time-mesaurement or the comparison of two watches together,Q181505,astrometry
Q187147,requirements analysis,"system design process focusing on analysing, documenting, validating and managing system requirements",Q638608,software development
Q187181,synapse,"junction between a nerve fiber of one neuron and another neuron, muscle fiber or glial cell",Q130216732,synaptology
Q187360,annealing,heat treatment that alters the properties of a material,Q228736,materials science
Q187465,Maxwell relations,equations involving the partial derivatives of thermodynamic quantities,Q11473,thermodynamics
Q187588,social class,group of people categorized in a hierarchy based on socioeconomic factors,Q21201,sociology
Q187652,cell reference,Term used in spreadsheet programs,Q11661,information technology
Q193351,data warehouses,"system used for reporting and data analysis, as a core component of business intelligence",Q61905,management information system
Q193432,fan,person who is enthusiastically devoted to something or someone,Q28793139,fan studies
Q193514,deformation,transformation of a body from a reference configuration to a current configuration,Q1080293,solid mechanics
Q193523,Charles's law,Charles's law is an experimental gas law which describes how gases tend to expand when heated.,Q11473,thermodynamics
Q193544,music theory,study of the theoretical aspects of music and its notation,Q164204,musicology
Q193642,scale,ratio of a distance on the map to the corresponding distance on the ground,Q42515,cartography
Q193842,geological map,special-purpose map made to show geological features,Q1069,geology
Q200854,synalepha,merging of two syllables into one,Q40998,phonology
Q201486,history of science,study of the historical development of science and scientific knowledge,Q1066186,study of history
Q201539,acid–base theory,any scientific model of acids and bases,Q27964550,acid–base chemistry
Q201762,Otto cycle,thermodynamic cycle for spark ignition piston engines,Q11473,thermodynamics
Q201884,isogloss,geographic boundaries between where linguistic features are used,Q160845,sociolinguistics
Q202080,soil fertility,the ability of a soil to sustain agricultural plant growth,Q9161265,soil science
